  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
    75      13   5.81999423e-05   4.89103604e-04   7.79127014e-12   4.43204928e-01   8.04001536e-01   2.64199523e-08
    75      14   3.63274261e-05   2.92879487e-04   1.30906625e-10   2.74726820e-01   5.94459723e-01   2.67461829e-08
    75      15   4.62697623e-06   3.65615878e-05   1.61411309e-10   6.61922884e-02   2.77906973e-01   1.56439596e-09
    75      16   8.98834241e-06   7.15775858e-05   1.38847898e-10   4.90812057e-02   2.06043302e-01   5.99875793e-09
    75      17   5.04832355e-06   4.07931454e-05   9.93357020e-11   2.91917551e-01   6.19564716e-01   9.87710105e-10
    75      18   2.06910629e-06   1.64832353e-05   5.62206003e-12   4.81368263e-02   2.02100793e-01   9.39087671e-12
    75      19   1.59301633e-06   1.27388530e-05   1.85686277e-11   2.40578642e-01   5.41808863e-01   8.98694013e-10
    75      20   1.20838546e-06   9.61922353e-06   2.61104982e-11   4.96272802e-02   2.08357940e-01   1.53548645e-10
    75      21   8.04680223e-07   6.40596537e-06   1.20376818e-11   4.95071436e-02   2.07859211e-01   4.07071916e-10
    75      22   8.77506446e-07   6.99128127e-06   1.18783389e-11   4.79276098e-02   2.01224168e-01   4.00991174e-10
    75      23   4.52564570e-07   3.58698266e-06   7.35569755e-13   5.82853420e-02   2.44714988e-01   4.11092792e-10
    75      24   3.45199909e-07   2.73314172e-06   6.36740555e-12   6.03895505e-02   2.53546230e-01   3.28539128e-10
    75      25   3.76800594e-07   2.98326200e-06   3.76434179e-12   6.04433817e-02   2.53772228e-01   3.10530144e-10
    76       1   1.10986649e-01   8.36675357e-02   5.31146596e-06   1.92363285e-01   0.00000000e+00   8.47820029e-05
    76       2   3.53568815e-04   3.20680407e-04   2.15167703e-07   1.28823582e+00   1.29214761e+00   4.46287684e-06
    76       3   3.26978702e-03   2.95442573e-03   3.18862799e-08   1.28720797e+00   1.29059371e+00   7.09267540e-05
    76       4   1.94870228e-03   1.77277548e-03   3.84654803e-09   1.28865467e+00   1.29190885e+00   4.92202533e-05
    76       5   2.35279223e-03   2.14195974e-03   4.49179739e-09   1.28877935e+00   1.29198652e+00   6.01908223e-05
    76       6   7.84888757e-04   7.11585649e-04   1.34108451e-09   1.28816740e+00   1.29131265e+00   1.63131763e-05
    76       7   2.56035386e-04   2.32377143e-04   9.48586640e-09   1.28800554e+00   1.29098453e+00   2.57035797e-06
    76       8   1.91858512e-04   1.75320175e-04   1.87715781e-09   1.28829735e+00   1.29110441e+00   1.24962159e-06
    76       9   2.81437121e-04   2.64641072e-04   6.88163526e-09   1.28944573e+00   1.29139054e+00   8.54655946e-06
    76      10   4.57547240e-04   3.95592172e-04   7.89226392e-09   1.28606729e+00   1.29038845e+00   3.20971025e-06
    76      11   3.13656644e-04   2.51185379e-04   7.16974982e-09   1.28329859e+00   1.28958331e+00   9.65865326e-07
    76      12   1.33218776e-04   1.02589683e-04   3.42930016e-09   1.28199561e+00   1.28923968e+00   2.76918143e-07
    76      13   1.07833391e-04   8.09371939e-05   7.60936341e-10   1.28115907e+00   1.28899926e+00   2.64114663e-07
    76      14   1.05399514e-04   7.79459269e-05   7.51144936e-10   1.28067676e+00   1.28885824e+00   1.07157430e-07
    76      15   1.51798939e-04   2.19173305e-03   4.99171053e-09   1.06776002e+00   1.21873974e+00   2.87706653e-07
    76      16   4.69799914e-05   1.34024117e-04   1.84696335e-09   1.41184095e+00   1.32424801e+00   2.64621864e-08
    76      17   2.06401367e-02   1.83656072e-01   1.69892257e-09   1.00819684e-01   5.24304894e-01   1.78214112e-07
    76      18   5.37021906e-05   3.99962799e-04   1.86330938e-09   1.60049561e-01   8.32017199e-01   6.12940230e-09
    76      19   4.47184847e-05   3.50604143e-04   1.71796712e-09   2.23129429e-01   5.45253442e-01   1.82992284e-08
    76      20   2.11868854e-02   1.88521045e-01   1.72086627e-09   1.07374742e-01   5.58187297e-01   3.25518735e-06
    76      21   4.50242710e-05   3.34975976e-04   1.80857860e-09   1.62111112e-01   8.42734166e-01   3.33619784e-08
    76      22   2.06696702e-02   1.83918861e-01   1.73688971e-09   1.01235367e-01   5.26271771e-01   4.05264662e-07
    76      23   2.17971630e-02   1.93951299e-01   1.75375756e-09   1.14590174e-01   5.95696700e-01   6.66358079e-06
    76      24   2.22187587e-02   1.97702660e-01   1.77021253e-09   1.19558212e-01   6.21523031e-01   8.98774748e-06
    76      25   2.25118400e-02   2.00310500e-01   1.75061509e-09   1.22981666e-01   6.39319848e-01   1.05986225e-05
    77       1   1.15078915e-01   1.35035150e-01   1.13128604e-05   1.61329554e-01   0.00000000e+00   1.07740249e-04
    77       2   5.99114091e-03   5.15477445e-03   1.20695298e-06   1.28656739e+00   1.29148919e+00   6.03921243e-05
    77       3   1.45907581e-02   1.08474530e-02   1.65190698e-07   1.29036841e+00   1.29968374e+00   4.43535711e-04
    77       4   2.06820093e-02   1.30973135e-02   1.34488373e-07   1.28998738e+00   1.30351277e+00   4.52897410e-04
    77       5   2.85243445e-02   1.61081464e-02   1.16139475e-07   1.28867569e+00   1.30489160e+00   4.31404467e-04
    77       6   2.25771486e-02   4.70361529e-02   1.19041851e-07   1.32668197e+00   1.28323006e+00   2.09241325e-04
    77       7   2.80202160e-02   1.21950817e-01   1.16569762e-07   1.44040860e+00   1.24644972e+00   2.26937926e-04
    77       8   2.84525800e-02   1.16566055e-01   1.10129489e-07   1.41882266e+00   1.25016190e+00   2.31049677e-04
    77       9   2.75496186e-02   1.09059918e-01   1.16554962e-07   1.41267323e+00   1.25451329e+00   2.26120380e-04
    77      10   3.54582710e-02   2.01166651e-01   7.30091347e-08   1.53143927e+00   1.19230828e+00   2.59217444e-04
