  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
   436    2094       2       1      13       1       0
   437    2096       2       1      13       1       0
   438    2098       2       1      14       0       0
   439    2100       2       1      13       2       0
   440    2102       2       1      13       1       0
   441    2104       2       1      13       1       0
   442    2106       2       1      13       1       0
   443    2108       2       1      12       2       0
   444    2110       2       1      11       2       0
   445    2112       2       1      10       2       0
   446    2114       2       1       9       2       0
   447    2116       2       1      10       0       0
   448    2118       2       1      10       1       0
   449    2120       2       1      11       0       0
   450    2122       2       1      11       1       0
   451    2124       2       1      11       1       0
   452    2126       2       1      12       0       0
   453    2128       2       1      12       1       0
   454    2130       2       1      12       1       0
   455    2132       2       1      13       0       0
   456    2134       2       1      12       2       0
   457    2136       2       1      13       0       0
   458    2138       2       1      13       1       0
   459    2140       2       1      14       0       0
   460    2142       2       1      14       1       0
   461    2144       2       1      14       1       0
   462    2146       2       1      13       2       0
   463    2148       2       1      13       1       0
   464    2150       2       1      13       1       0
   465    2153       3       1      12       3       0
   466    2156       3       1      12       2       0
   467    2159       3       1      14       0       0
   468    2161       2       1      14       1       0
   469    2163       2       1      13       2       0
   470    2165       2       1      13       1       0
   471    2167       2       1      13       1       0
   472    2169       2       1      12       2       0
   473    2172       3       1      13       1       0
   474    2175       3       1      13       2       0
   475    2179       4       1      15       1       0
   476    2181       2       1      15       1       0
   477    2184       3       1      14       3       0
   478    2186       2       1      15       0       0
   479    2188       2       1      15       1       0
   480    2190       2       1      16       0       0
   481    2193       3       1      16       2       0
   482    2196       3       1      18       0       0
   483    2199       3       1      16       4       0
   484    2201       2       1      17       0       0
   485    2203       2       1      17       1       0
   486    2205       2       1      15       3       0
   487    2207       2       1      16       0       0
   488    2209       2       1      16       1       0
   489    2211       2       1      16       1       0
   490    2213       2       1      15       2       0
   491    2215       2       1      16       0       0
   492    2217       2       1      16       1       0
   493    2219       2       1      16       0       1
   494    2221       2       1      15       1       1
   495    2223       2       1      15       0       1
   496    2225       2       1      15       1       0
   497    2227       2       1      15       1       0
   498    2229       2       1      15       1       0
   499    2231       2       1      15       1       0
   500    2233       2       1      15       1       0
   501    2235       2       1      15       0       1
   502    2237       2       1      15       0       1
   503    2239       2       1      15       1       0
   504    2241       2       1      15       1       0
   505    2243       2       1      14       2       0
   506    2245       2       1      13       2       0
   507    2247       2       1      14       0       0
   508    2249       2       1      14       1       0
   509    2251       2       1      14       1       0
   510    2253       2       1      15       0       0
   511    2255       2       1      14       2       0
   512    2257       2       1      14       1       0
   513    2259       2       1      14       1       0
   514    2261       2       1      12       3       0
   515    2263       2       1      12       1       0
   516    2265       2       1      12       1       0
   517    2267       2       1      12       1       0
   518    2269       2       1      12       1       0
   519    2271       2       1      12       1       0
   520    2273       2       1      13       0       0
   521    2275       2       1      13       1       0
   522    2277       2       1      13       1       0
   523    2279       2       1      13       1       0
   524    2281       2       1      13       1       0
   525    2283       2       1      12       2       0
   526    2285       2       1      12       1       0
   527    2287       2       1      12       1       0
   528    2289       2       1      12       1       0
   529    2291       2       1      12       1       0
   530    2293       2       1      12       1       0
   531    2295       2       1      12       1       0
   532    2297       2       1      12       1       0
   533    2299       2       1      13       0       0
   534    2301       2       1      12       2       0
   535    2303       2       1      12       1       0
   536    2305       2       1      13       0       0
   537    2307       2       1      12       2       0
   538    2309       2       1      12       1       0
   539    2311       2       1      13       0       0
   540    2313       2       1      12       2       0
   541    2315       2       1      12       1       0
   542    2317       2       1      12       1       0
   543    2319       2       1      12       1       0
